id,name,created_at,updated_at
1,Paddy,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
2,Potato,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
3,Wheat,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
4,Mustard,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
5,Cabbage,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
6,Cauliflower,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
7,Tomato,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
8,Brinjal,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
9,Palak ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
10,Chilli,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
11,Areca Nut,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
12,Arhar ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
13,Banana,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
15,Bitter Gourd,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
16,Black Gram,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
17,Capsicum,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
18,Carrot,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
19,Citrus,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
20,Coconut,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
22,Cotton,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
23,Cow Pea,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
24,Cucumber,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
26,Garlic,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
27,Ginger,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
28,Gladiolus,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
29,Gram ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
30,Green Gram,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
31,Groundnut,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
32,Guava ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
33,Jute ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
35,Lentil,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
36,Linseed,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
37,Maize ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
38,Mango ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
39,Marigold,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
40,Onion ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
41,Papaya,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
42,Pea ,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
43,Pointed Gourd,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
44,Pumpkin,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
45,Rapeseed,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
46,Ridge Gourd,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
47,Sesamum,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
48,Snake Gourd,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
49,Soybean,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
50,Sugarcane,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
51,Sunflower,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
52,Tuberose,2015-11-04 18:41:49.000000,2015-11-04 18:41:49.000000
55,Jute (Olitorius),2016-04-06 05:03:48.032499,2016-04-06 05:03:48.032499
25,Gerbera,2015-11-04 18:41:49.000000,2016-05-05 10:21:14.883972
21,Coriander,2015-11-04 18:41:48.000000,2016-05-05 10:25:44.199209
34,Ladyâ€™s Finger,2015-11-04 18:41:49.000000,2016-05-05 10:26:03.699442
53,Turmeric,2015-11-04 18:41:49.000000,2016-05-05 10:26:20.616589
14,Betel Vine,2015-11-04 18:41:48.000000,2016-05-05 10:27:50.267259
